hour_thai,mean,min,max,count
0,-4.700000000000725,-4.700000000000725,-4.700000000000725,1
1,-18.099999999998214,-22.29999999999834,-10.599999999999408,3
5,-21.29999999999845,-21.29999999999845,-21.29999999999845,1
8,0.0,0.0,0.0,1
9,-25.81818181818181,-86.59999999999992,-3.499999999999525,11
10,-47.8500000000005,-126.90000000000192,0.0,6
11,-23.469999999999793,-49.99999999999996,-2.39999999999898,10
12,-45.35454545454546,-183.4999999999997,-3.60000000000018,11
13,-19.350000000000115,-36.09999999999994,-2.60000000000029,2
14,-9.97500000000061,-18.79999999999984,0.0,4
15,-27.559999999999498,-73.80000000000045,-6.499999999999194,5
16,-6.299999999999848,-23.10000000000136,0.0,4
17,-31.18333333333399,-81.50000000000203,-13.800000000002608,6
18,-19.139999999999638,-37.399999999999565,0.0,5
19,-61.4999999999998,-61.4999999999998,-61.4999999999998,1
20,-17.799999999999947,-17.799999999999947,-17.799999999999947,1
21,-9.900000000001484,-9.900000000001484,-9.900000000001484,1
22,-10.900000000001372,-10.900000000001372,-10.900000000001372,1
23,-7.599999999999739,-7.599999999999739,-7.599999999999739,1
